idParroquiaSalud;idParroquias;idSalud;Parr_ubi
573;;113;General Villamil (Playas)
574;;8;Roberto Astudillo (Cab. en Cruce de Venecia)
575;333;113;Balzar
576;;8;Santa Rosa de Flandes
577;;113;Jesús María
578;;113;Virgen de Fátima
579;;113;Santa Rosa de Flandes
580;;113;El Triunfo
581;325;120;Guayaquil
582;325;52;Guayaquil
583;325;49;Guayaquil
584;325;58;Guayaquil
585;325;25;Guayaquil
586;325;57;Guayaquil
587;325;53;Guayaquil
588;325;18;Guayaquil
589;325;62;Guayaquil
590;325;59;Guayaquil
591;325;16;Guayaquil
592;325;22;Guayaquil
593;325;54;Guayaquil
594;325;6;Guayaquil
595;325;1;Guayaquil
596;;24;Eloy Alfaro (Durán)
597;325;17;Guayaquil
598;;57;La Libertad
599;;15;General Antonio Elizalde (Bucay)
600;325;24;Guayaquil
601;;114;Naranjal
602;325;14;Guayaquil
603;;49;Coronel Marcelino Maridueña (San Carlos)
604;325;27;Guayaquil
605;325;55;Guayaquil
606;325;20;Guayaquil
607;;49;Eloy Alfaro (Durán)
608;326;114;Milagro
609;;120;La Libertad
610;;38;San Miguel de Ibarra, Cabecera Cantonal y Capital Provincial
611;;79;San Miguel de Ibarra, Cabecera Cantonal y Capital Provincial
612;385;111;Atuntaqui
613;385;66;Atuntaqui
614;;66;Cotacachi
615;;66;Otavalo
616;;8;San Miguel de Ibarra, Cabecera Cantonal y Capital Provincial
617;388;113;Ambuquí
618;389;113;Cahuasquí
619;390;113;Carolina
620;;113;La Esperanza
621;;113;Lita
622;;113;Mariano Acosta
623;;113;Pablo Arenas
624;;113;Pimampiro
625;396;113;San Antonio
626;;113;Tumbabiro
627;;113;Urcuquí
628;;113;La Merced de Buenos Aires
629;;113;San Miguel de Ibarra, Cabecera Cantonal y Capital Provincial
630;400;113;Angochagua
631;;113;San Francisco de Sigsipamba
632;402;113;Chugá
633;;113;San Blas
634;66;113;Salinas
635;;113;San José de Chaltura
636;;113;San Roque
637;;113;San Francisco de Natabuela
638;;110;Imbaya (San Luis de Cobuendo)
639;409;113;6 de Julio de Cuellaje (Cab. en Cuellaje)
640;410;113;Apuela
641;;113;García Moreno (Llurimagua)
642;;113;Imantag
643;;113;Peñaherrera
644;;110;Vacas Galindo (El Churo) (Cab.en San Miguel Alto)
645;;113;Quiroga
646;;113;San Pablo
647;135;113;San Rafael
648;;113;Selva Alegre (Cab. en San Miguel de Pamplona)
649;;113;San Juan de Ilumán
650;;113;Eugenio Espejo (Calpaquí)
651;;113;Otavalo
652;;113;San José de Quichinche
653;;113;Dr. Miguel Egas Cabezas (Peguche)
654;;113;González Suárez
655;;110;Plaza Gutiérrez (Calvario)
656;;113;Pataquí
657;388;49;Ambuquí
658;;49;San Miguel de Ibarra, Cabecera Cantonal y Capital Provincial
659;;19;San Miguel de Ibarra, Cabecera Cantonal y Capital Provincial
660;;6;Otavalo
661;;111;Cotacachi
662;;49;Dr. Miguel Egas Cabezas (Peguche)
663;;17;La Esperanza
664;;32;San Miguel de Ibarra, Cabecera Cantonal y Capital Provincial
665;;34;San Miguel de Ibarra, Cabecera Cantonal y Capital Provincial
666;;34;Otavalo
667;;22;San Miguel de Ibarra, Cabecera Cantonal y Capital Provincial
668;;38;Loja
669;;75;Loja
670;;79;Loja
671;427;66;Cariamanga
672;;66;Macará
673;429;66;Catacocha
674;430;66;Alamor
675;;66;Vilcabamba  (Victoria)
676;;66;Saraguro
677;433;66;Amaluza
678;;8;Loja
679;434;30;Catamayo (La Toma)
680;;113;Malacatos (Valladolid)
681;;113;San Lucas
682;;113;Yangana (Arsenio Castillo)
683;438;113;Chuquiribamba
684;;113;El Cisne
685;95;8;El Tambo
686;;113;San Pedro de la Bendita
687;;113;Zambi
688;75;113;Santiago
689;;113;Taquil (Miguel Riofrío)
690;;110;Gualel
691;;110;Guayquichuma
692;;113;Jimbilla
693;;113;El Lucero
694;449;113;Celica
695;;20;Zapotillo
696;451;110;12 de Diciembre (Cab. en Achiotes)
697;;113;Pindal
698;;110;Cruzpamba (Cab. en Carlos Bustamante)
699;;113;Pozul (San Juan de Pozul)
700;;113;Sabanilla
701;;8;Jimbura
702;;113;Quilanga
